TimeID,Precipitationmm,Events,Conditions,WindDirDegrees
732,0,Normal,Partly Cloudy,300
733,0,Normal,Clear,0
734,0,Normal,Clear,0
735,0,Normal,Clear,350
736,0,Normal,Clear,40
737,0,Normal,Clear,10
738,0,Normal,Clear,0
739,0,Normal,Clear,20
740,0,Normal,Clear,150
741,0,Normal,Clear,0
742,0,Normal,Clear,190
743,0,Normal,Clear,0
744,0,Normal,Clear,180
745,0,Normal,Clear,0
746,0,Normal,Clear,0
747,0,Normal,Clear,0
748,0,Normal,Clear,240
749,0,Normal,Clear,0
750,0,Normal,Clear,260
751,0,Normal,Clear,260
752,0,Normal,Clear,250
753,0,Normal,Clear,0
754,0,Normal,Clear,0
755,0,Normal,Clear,0
756,0,Normal,Overcast,260
757,0,Normal,Clear,0
758,0,Normal,Mostly Cloudy,0
759,0,Normal,Scattered Clouds,0
760,0,Normal,Overcast,0
761,0,Normal,Mostly Cloudy,250
762,0,Normal,Overcast,0
763,0,Normal,Scattered Clouds,0
764,0,Normal,Clear,0
765,0,Normal,Clear,0
766,0,Normal,Overcast,280
767,0,Normal,Mostly Cloudy,280
768,0,Normal,Clear,270
769,0,Normal,Clear,290
770,0,Normal,Mostly Cloudy,0
771,0,Normal,Overcast,0
772,0,Normal,Overcast,280
773,0,Normal,Scattered Clouds,270
774,0,Normal,Overcast,0
775,0,Normal,Overcast,300
776,0,Normal,Overcast,0
777,0,Normal,Mostly Cloudy,310
778,0,Normal,Overcast,310
779,0,Normal,Overcast,320
780,0,Normal,Partly Cloudy,320
781,0,Normal,Partly Cloudy,310
782,0,Normal,Clear,310
783,0,Normal,Clear,310
784,0,Normal,Clear,310
785,0,Normal,Clear,290
786,0,Normal,Clear,310
787,0,Normal,Clear,0
788,0,Normal,Clear,0
789,0,Normal,Clear,290
790,0,Normal,Clear,290
791,0,Normal,Clear,0
792,0,Normal,Clear,0
793,0,Normal,Clear,270
794,0,Normal,Clear,0
795,0,Normal,Clear,0
796,0,Normal,Partly Cloudy,0
797,0,Normal,Clear,260
798,0,Normal,Clear,240
799,0,Normal,Clear,260
800,0,Normal,Clear,0
801,0,Normal,Clear,240
802,0,Normal,Clear,0
803,0,Normal,Clear,0
804,0,Normal,Clear,250
805,0,Normal,Clear,250
806,0,Normal,Clear,230
807,0,Normal,Clear,230
808,0,Normal,Clear,250
809,0,Normal,Clear,230
810,0,Normal,Clear,0
811,0,Normal,Clear,250
812,0,Normal,Clear,0
813,0,Normal,Clear,0
814,0,Normal,Clear,240
815,0,Normal,Clear,260
816,0,Normal,Clear,0
817,0,Normal,Clear,250
818,0,Normal,Clear,250
819,0,Normal,Clear,0
820,0,Normal,Clear,260
821,0,Normal,Clear,0
822,0,Normal,Clear,270
823,0,Normal,Clear,260
824,0,Normal,Clear,0
825,0,Normal,Clear,0
826,0,Normal,Clear,160
827,0,Normal,Clear,0
828,0,Normal,Clear,150
829,0,Normal,Clear,0
830,0,Normal,Clear,240
831,0,Normal,Clear,0
832,0,Normal,Clear,0
833,0,Normal,Clear,250
834,0,Normal,Clear,250
835,0,Normal,Clear,260
836,0,Normal,Clear,250
837,0,Normal,Clear,0
838,0,Normal,Clear,260
839,0,Normal,Clear,0
840,0,Normal,Clear,0
841,0,Normal,Clear,240
842,0,Normal,Mostly Cloudy,0
843,0,Normal,Clear,250
844,0,Normal,Clear,280
845,0,Normal,Clear,0
846,0,Normal,Partly Cloudy,0
847,0,Normal,Overcast,0
848,0,Normal,Overcast,0
849,0,Rain,Light Rain,0
850,0.01,Normal,Overcast,350
851,0,Normal,Overcast,290
852,0,Normal,Overcast,0
853,0,Normal,Scattered Clouds,0
854,0,Normal,Scattered Clouds,0
855,0,Normal,Clear,0
856,0,Normal,Clear,0
857,0,Normal,Clear,0
858,0,Normal,Clear,50
859,0,Normal,Clear,0
860,0,Normal,Clear,340
861,0,Normal,Clear,0
862,0,Normal,Clear,0
863,0,Normal,Clear,0
864,0,Normal,Clear,0
865,0,Normal,Clear,300
866,0,Normal,Clear,290
867,0,Normal,Clear,0
868,0,Normal,Clear,10
869,0,Normal,Clear,0
870,0,Normal,Clear,0
871,0,Normal,Clear,60
872,0,Normal,Clear,0
873,0,Normal,Clear,60
874,0,Normal,Clear,0
875,0,Normal,Clear,0
876,0,Normal,Clear,160
877,0,Normal,Clear,150
878,0,Normal,Clear,0
879,0,Normal,Clear,0
880,0,Normal,Clear,220
881,0,Normal,Clear,0
882,0,Normal,Clear,0
883,0,Normal,Clear,170
884,0,Normal,Partly Cloudy,180
885,0,Normal,Overcast,0
886,0,Normal,Overcast,150
887,0,Normal,Overcast,0
888,0,Normal,Overcast,0
889,0,Normal,Overcast,140
