twitter_id,create_at,tweet_text,user_id,user_location,tag_text,url,key_word,retweet_count,like_count,twitter_hour,twitter_weekday,twitter_day
133,2018-04-05 15:59:48,"50 for 50: 

@cilic_marin shed the underachieving moniker at the 2014 #USOpen, defeating Kei Nishikori in spectacul… https://t.co/HILIojV6LH",14836197,"Flushing Meadows, New York",USOpen,https://t.co/HILIojV6LH,Kei Nishikori,6,52,15,6,5
46,2018-04-05 15:59:32,There is an endless stream of songwriting teams (duos) that have inspired me with lyrics and music. From #Taupin-Jo… https://t.co/L6MgpcnmlV,24285208,"Calgary, Alberta",Taupin,https://t.co/L6MgpcnmlV,David Goffin,0,0,15,3,5
47,2018-04-05 15:38:18,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,487818953,Hangzhou,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,15,3,5
48,2018-04-05 14:33:23,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,771946625220608000,,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,2,0,14,3,5
110,2018-04-05 14:08:15,"Stan Wawrinka ? Jo-Wilfried Tsonga ??
amazing shot from @stanwawrinka85 ??

#Wawrinka #Tsonga @tsongaofficiel… https://t.co/yx6qGJGo7w",108759356,"San Diego, CA",Wawrinka,https://t.co/yx6qGJGo7w,Stan Wawrinka,0,2,14,5,5
49,2018-04-05 13:25:57,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,3196931725,日本,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,13,3,5
50,2018-04-05 12:57:45,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,789732304725815296,Tokyo Japan,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,12,3,5
51,2018-04-05 12:56:35,RT @LeedsTennis: Practice on Court Rainier III with @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/QE4Q93rpwv https://t.co/9…,1014421435,,rolexmcmasters,https://t.co/QE4Q93rpwv,David Goffin,1,0,12,3,5
52,2018-04-05 11:52:28,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,699368028245364736,日本 広島,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,11,3,5
53,2018-04-05 11:50:29,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,765354316567805952,,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,11,3,5
54,2018-04-05 10:09:14,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,473866479,"Tokyo, JAPAN",rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,10,3,5
111,2018-04-05 09:41:29,#PlaceEnGardeAVue ça étonne qui ? le mec avait été remis en place par Stan Wawrinka par le passé au Masters 1000 de… https://t.co/6srqiPzGOt,965918466044809216,Monts T’aebaek,PlaceEnGardeAVue,https://t.co/6srqiPzGOt,Stan Wawrinka,0,1,9,5,5
55,2018-04-05 09:40:22,Practice on Court Rainier III with @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/QE4Q93rpwv https://t.co/9QnU22Tumv,2891281241,Leeds. United Kingdom.,rolexmcmasters,https://t.co/QE4Q93rpwv,David Goffin,1,1,9,3,5
